ID	pop1	pop2
1	0.9963	0.0037
2	0.9863	0.0137
3	0.998	0.002
4	0.997	0.003
5	0.9956	0.0044
6	0.9896	0.0104
7	0.9964	0.0036
8	0.996	0.004
9	0.998	0.002
10	0.9979	0.0021
11	0.998	0.002
12	0.998	0.002
13	0.999	0.001
14	0.998	0.002
15	0.998	0.002
16	0.9979	0.0021
17	0.9973	0.0027
18	0.9971	0.0029
19	0.997	0.003
20	0.998	0.002
21	0.996	0.004
22	0.998	0.002
23	0.998	0.002
24	0.998	0.002
25	0.9939	0.0061
26	0.997	0.003
27	0.9961	0.0039
28	0.998	0.002
29	0.998	0.002
30	0.9974	0.0026
31	0.9959	0.0041
32	0.9986	0.0014
33	0.9944	0.0056
34	0.9806	0.0194
35	0.998	0.002
36	0.9979	0.0021
37	0.998	0.002
38	0.998	0.002
39	0.9945	0.0055
40	0.9973	0.0027
41	0.998	0.002
42	0.9982	0.0018
43	0.998	0.002
44	0.998	0.002
45	0.9949	0.0051
46	0.994	0.006
47	0.9963	0.0037
48	0.997	0.003
49	0.995	0.005
50	0.998	0.002
51	0.998	0.002
52	0.997	0.003
53	0.9976	0.0024
54	0.998	0.002
55	0.9981	0.0019
56	0.9648	0.0352
57	0.9949	0.0051
58	0.002	0.998
59	0.002	0.998
60	0.002	0.998
61	0.006	0.994
62	0.004	0.996
63	0.002	0.998
64	0.003	0.997
